specimenID       plantName        Age(Generation)  totalHeight (cm) totalWidth (cm)  stemNumbers     
390              -368.87          158.62           64.19            1.57            
391              -318.53          37.08            64.19            5.50            
392              -318.53          37.08            64.19            4.71            
393              -318.53          37.08            64.19            3.93            
394              -371.15          58.88            64.19            4.71            
395              -371.15          58.88            64.19            3.93            
396              -371.15          58.88            64.19            3.14            
397              -392.94          111.49           64.19            3.93            
398              -392.94          111.49           64.19            3.14            
399              -392.94          111.49           64.19            2.36            
400              -395.68          118.10           64.19            4.71            
401              -395.68          118.10           64.19            3.93            
402              -395.68          118.10           64.19            3.14            
403              -417.47          170.71           64.19            3.93            
404              -417.47          170.71           64.19            3.14            
405              -417.47          170.71           64.19            2.36            
406              -395.68          223.33           64.19            3.14            
407              -395.68          223.33           64.19            2.36            
408              -395.68          223.33           64.19            1.57            
409              -392.94          229.93           64.19            3.93            
410              -392.94          229.93           64.19            3.14            
411              -392.94          229.93           64.19            2.36            
412              -371.15          282.55           64.19            3.14            
413              -371.15          282.55           64.19            2.36            
414              -371.15          282.55           64.19            1.57            
415              -318.53          304.34           64.19            2.36            
416              -318.53          304.34           64.19            1.57            
417              -318.53          304.34           64.19            0.79            
418              -368.87          182.81           64.19            4.71            
419              -368.87          182.81           64.19            3.93            
420              -368.87          182.81           64.19            3.14            
421              -390.67          235.42           64.19            3.93            
422              -390.67          235.42           64.19            3.14            
423              -390.67          235.42           64.19            2.36            
424              -368.87          288.04           64.19            3.14            
425              -368.87          288.04           64.19            2.36            
426              -368.87          288.04           64.19            1.57            
427              -366.14          294.64           64.19            3.93            
428              -366.14          294.64           64.19            3.14            
429              -366.14          294.64           64.19            2.36            
430              -344.34          347.26           64.19            3.14            
431              -344.34          347.26           64.19            2.36            
432              -344.34          347.26           64.19            1.57            
433              -291.73          369.05           64.19            2.36            
434              -291.73          369.05           64.19            1.57            
435              -291.73          369.05           64.19            0.79            
436              -285.12          371.78           64.19            3.14            
437              -285.12          371.78           64.19            2.36            
438              -285.12          371.78           64.19            1.57            
439              -232.51          393.58           64.19            2.36            
440              -232.51          393.58           64.19            1.57            
441              -232.51          393.58           64.19            0.79            
442              -179.89          371.78           64.19            1.57            
443              -179.89          371.78           64.19            0.79            
444              -179.89          371.78           64.19            0.00            
445              -290.10          105.73           64.19            5.50            
446              -290.10          105.73           64.19            4.71            
447              -290.10          105.73           64.19            3.93            
448              -342.71          127.53           64.19            4.71            
449              -342.71          127.53           64.19            3.93            
450              -342.71          127.53           64.19            3.14            
451              -364.50          180.14           64.19            3.93            
452              -364.50          180.14           64.19            3.14            
453              -364.50          180.14           64.19            2.36            
454              -367.24          186.75           64.19            4.71            
455              -367.24          186.75           64.19            3.93            
456              -367.24          186.75           64.19            3.14            
457              -389.03          239.36           64.19            3.93            
458              -389.03          239.36           64.19            3.14            
459              -389.03          239.36           64.19            2.36            
460              -367.24          291.98           64.19            3.14            
461              -367.24          291.98           64.19            2.36            
462              -367.24          291.98           64.19            1.57            
463              -364.50          298.58           64.19            3.93            
464              -364.50          298.58           64.19            3.14            
465              -364.50          298.58           64.19            2.36            
466              -342.71          351.20           64.19            3.14            
467              -342.71          351.20           64.19            2.36            
468              -342.71          351.20           64.19            1.57            
469              -290.10          372.99           64.19            2.36            
470              -290.10          372.99           64.19            1.57            
471              -290.10          372.99           64.19            0.79            
472              -340.44          251.46           64.19            4.71            
473              -340.44          251.46           64.19            3.93            
474              -340.44          251.46           64.19            3.14            
475              -362.23          304.07           64.19            3.93            
476              -362.23          304.07           64.19            3.14            
477              -362.23          304.07           64.19            2.36            
478              -340.44          356.69           64.19            3.14            
479              -340.44          356.69           64.19            2.36            
480              -340.44          356.69           64.19            1.57            
481              -337.70          363.29           64.19            3.93            
482              -337.70          363.29           64.19            3.14            
483              -337.70          363.29           64.19            2.36            
484              -315.91          415.91           64.19            3.14            
485              -315.91          415.91           64.19            2.36            
486              -315.91          415.91           64.19            1.57            
487              -263.29          437.70           64.19            2.36            
488              -263.29          437.70           64.19            1.57            
489              -263.29          437.70           64.19            0.79            
490              -256.69          440.44           64.19            3.14            
491              -256.69          440.44           64.19            2.36            
492              -256.69          440.44           64.19            1.57            
493              -204.07          462.23           64.19            2.36            
494              -204.07          462.23           64.19            1.57            
495              -204.07          462.23           64.19            0.79            
496              -151.46          440.44           64.19            1.57            
497              -151.46          440.44           64.19            0.79            
498              -151.46          440.44           64.19            0.00            
499              -272.99          390.10           64.19            3.93            
500              -272.99          390.10           64.19            3.14            
501              -272.99          390.10           64.19            2.36            
502              -251.20          442.71           64.19            3.14            
503              -251.20          442.71           64.19            2.36            
504              -251.20          442.71           64.19            1.57            
505              -198.58          464.50           64.19            2.36            
506              -198.58          464.50           64.19            1.57            
507              -198.58          464.50           64.19            0.79            
508              -191.98          467.24           64.19            3.14            
509              -191.98          467.24           64.19            2.36            
510              -191.98          467.24           64.19            1.57            
511              -139.36          489.03           64.19            2.36            
512              -139.36          489.03           64.19            1.57            
513              -139.36          489.03           64.19            0.79            
514              -86.75           467.24           64.19            1.57            
515              -86.75           467.24           64.19            0.79            
516              -86.75           467.24           64.19            0.00            
517              -80.14           464.50           64.19            2.36            
518              -80.14           464.50           64.19            1.57            
519              -80.14           464.50           64.19            0.79            
520              -27.53           442.71           64.19            1.57            
521              -27.53           442.71           64.19            0.79            
522              -27.53           442.71           64.19            0.00            
523              -5.73            390.10           64.19            0.79            
524              -5.73            390.10           64.19            0.00            
525              -5.73            390.10           64.19            -0.79           
